Location,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,64.023,61.64,59.367,57.17,55.08,53.107,51.267,49.56,47.983,46.453
Albania,11.803,10.807,9.943,9.267,8.79,8.493,8.363,8.363,8.453,8.597
Algeria,23.54,22.907,22.45,22.117,21.85,21.587,21.257,20.85,20.407,19.93
Andorra,4.24,4.033,3.843,3.667,3.49,3.33,3.187,3.06,2.933,2.827
Angola,75.713,71.28,67.233,63.57,60.43,57.757,55.51,53.46,51.757,50.093
Antigua and Barbuda,8.667,8.223,7.807,7.42,7.07,6.757,6.483,6.23,6.0,5.783
Argentina,12.887,12.38,11.84,11.283,10.733,10.203,9.683,9.177,8.68,8.227
Armenia,16.497,15.677,14.897,14.17,13.477,12.817,12.183,11.583,11.007,10.497
Australia,3.993,3.803,3.623,3.467,3.343,3.253,3.183,3.137,3.09,3.047
Austria,3.573,3.463,3.333,3.21,3.113,3.043,2.987,2.943,2.897,2.843
