(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
2021-05-15:15,보통,47,보통,19,좋음,0.017,좋음,0.023,좋음,0.4,좋음,0.003
2021-05-15:14,보통,43,보통,20,좋음,0.024,좋음,0.019,좋음,0.3,좋음,0.003
2021-05-15:13,보통,34,보통,24,보통,0.035,좋음,0.017,좋음,0.4,좋음,0.004
2021-05-15:12,보통,41,보통,27,보통,0.037,좋음,0.02,좋음,0.4,좋음,0.004
2021-05-15:11,보통,51,보통,34,보통,0.033,좋음,0.023,좋음,0.4,좋음,0.005
2021-05-15:10,보통,47,보통,31,좋음,0.028,좋음,0.029,좋음,0.5,좋음,0.005
2021-05-15:09,보통,66,나쁨,42,좋음,0.027,좋음,0.024,좋음,0.5,좋음,0.005
2021-05-15:08,나쁨,99,나쁨,69,좋음,0.016,보통,0.041,좋음,0.6,좋음,0.005
2021-05-15:07,나쁨,111,매우나쁨,76,좋음,0.005,보통,0.047,좋음,0.7,좋음,0.005
2021-05-15:06,나쁨,100,나쁨,68,좋음,0.007,보통,0.041,좋음,0.6,좋음,0.005
2021-05-15:05,나쁨,105,나쁨,72,좋음,0.019,보통,0.031,좋음,0.6,좋음,0.006
2021-05-15:04,나쁨,99,나쁨,72,좋음,0.019,좋음,0.03,좋음,0.6,좋음,0.006
2021-05-15:03,나쁨,97,나쁨,71,좋음,0.016,보통,0.037,좋음,0.6,좋음,0.005
2021-05-15:02,나쁨,94,나쁨,64,좋음,0.012,보통,0.049,좋음,0.7,좋음,0.006
2021-05-15:01,나쁨,95,나쁨,63,좋음,0.011,보통,0.055,좋음,0.7,좋음,0.006
2021-05-14:24,보통,80,나쁨,52,좋음,0.014,보통,0.054,좋음,0.7,좋음,0.006
2021-05-14:23,나쁨,82,나쁨,53,좋음,0.029,보통,0.044,좋음,0.6,좋음,0.005
2021-05-14:22,나쁨,82,나쁨,43,보통,0.04,보통,0.043,좋음,0.6,좋음,0.005
2021-05-14:21,보통,68,보통,35,보통,0.054,보통,0.033,좋음,0.5,좋음,0.005
2021-05-14:20,보통,68,나쁨,39,보통,0.076,좋음,0.029,좋음,0.5,좋음,0.005
2021-05-14:19,보통,72,나쁨,37,나쁨,0.093,좋음,0.03,좋음,0.5,좋음,0.005
2021-05-14:18,보통,43,보통,25,보통,0.072,좋음,0.027,좋음,0.4,좋음,0.004
2021-05-14:17,보통,45,보통,25,보통,0.082,좋음,0.019,좋음,0.3,좋음,0.004
2021-05-14:16,보통,42,보통,21,보통,0.085,좋음,0.022,좋음,0.3,좋음,0.004
2021-05-14:15,보통,43,보통,20,보통,0.071,좋음,0.02,좋음,0.3,좋음,0.004
2021-05-14:14,보통,41,보통,22,보통,0.071,좋음,0.024,좋음,0.4,좋음,0.004
2021-05-14:13,보통,50,보통,18,보통,0.053,좋음,0.024,좋음,0.4,좋음,0.004
2021-05-14:12,보통,58,보통,28,보통,0.045,좋음,0.025,좋음,0.4,좋음,0.004
2021-05-14:11,보통,76,나쁨,45,보통,0.045,보통,0.036,좋음,0.6,좋음,0.005
2021-05-14:10,보통,79,나쁨,44,좋음,0.019,보통,0.056,좋음,0.8,좋음,0.005
2021-05-14:09,보통,68,나쁨,39,좋음,0.013,보통,0.051,좋음,0.6,좋음,0.004
2021-05-14:08,보통,51,보통,29,좋음,0.009,보통,0.041,좋음,0.6,좋음,0.004
2021-05-14:07,보통,42,보통,27,좋음,0.005,보통,0.039,좋음,0.5,좋음,0.004
2021-05-14:06,보통,43,보통,23,좋음,0.007,보통,0.032,좋음,0.4,좋음,0.003
2021-05-14:05,보통,45,보통,24,좋음,0.013,좋음,0.023,좋음,0.4,좋음,0.004
2021-05-14:04,보통,46,보통,24,좋음,0.011,좋음,0.028,좋음,0.4,좋음,0.004
2021-05-14:03,보통,45,보통,26,좋음,0.015,좋음,0.028,좋음,0.4,좋음,0.004
2021-05-14:02,보통,46,보통,24,좋음,0.022,좋음,0.029,좋음,0.4,좋음,0.003
2021-05-14:01,보통,48,보통,25,좋음,0.02,보통,0.036,좋음,0.5,좋음,0.004
2021-05-13:24,보통,49,보통,24,좋음,0.024,보통,0.035,좋음,0.5,좋음,0.004
2021-05-13:23,보통,50,보통,25,보통,0.034,좋음,0.029,좋음,0.4,좋음,0.004
